Word,Definition
ski,one of a pair of long flat boards attached to boots for moving smoothly over snow
whisper,to talk with breath but no voice
rear,towards the back part of something
menu,list of dishes available at a restaurant
species,a group of related animals or plant
moon,round object circling the earth at night
presumably,concerning a true or likely nature
bless,to ask the gods to protect someone or something
airline,company that flies passengers in its planes
amendment,a change-- addition-- or improvement to something
grandmother,mother of your mother or father
jury,group of people who listen to information about something and make a decision
cooperation,a situation where everyone works together to get something done
civilian,ordinary person who is not in the army
composition,something that is created from different parts to make something new
coin,a small-- flat piece of metal used as money
regardless,without being affected or concerned by something difficult or troubling
scan,to look within something for a particular person or thing
bunch,group of things of the same kind
racial,relating to a person's group based on inherited physical appearance
greet,to meet someone with friendly words and actions; to welcome
hopefully,in a manner wishing something to happen
sanction,action taken to force a country to obey laws
trick,to make someone believe something that is not true
paragraph,section of writing that usually deals with one subject
maker,person-- company-- or object that creates things
chocolate,a sweet brown food made from cocoa beans
stimulate,excite to action
belt,band of material worn around a person's waist
potato,edible vegetable
narrative,the telling of a story
tissue,piece of thin-- soft paper
barely,almost not possible or does not happen
invent,to create something useful for the first time
tourism,traveling to new places (e.g.-- abroad-- for vacations)
pro,someone who earns money doing something they are particularly good at
stair,steps that go from one level to another
hesitate,to stop before doing something because you are unsure what to do
shine,to make bright light
motivation,feeling in a person that makes him or her want to do something
romantic,related to strong feelings of love between two people
firmly,in a hard-- steady-- unchanging way
interior,inside part of something
stomach,place in the body where food is broken down so your body can use it
nowhere,not in or at any place; no place
pray,to wish or hope for something to happen or be true
championship,sports competition to find the best player or team
servant,a person who works in another person's house and takes care of them
immigrant,person moving to another country to live there
excess,amount that is more than necessary
complexity,state of having many parts and not being simple
liability,something that is owed to someone else (e.g.-- a debt)
surprisingly,in an unexpected way
extract,to take something out of something else
implementation,making a law-- system-- or plan start to happen or be used
bias,a strong feeling not based on facts to believe one thing over another
differently,in a way that is not the same
catalog,list of items that are available for purchase
continuous,happening without stops
golden,made of valuable-- heavy-- yellow metal
stamp,small piece of paper you buy to put on a letter that you mail
guideline,rule-- instruction-- or principle
envelope,cover for a letter or card
knife,long piece of metal you use for cutting things
biological,something related to life and living things
consume,to eat-- drink-- buy or use up something
luxury,something expensive or costly that is not needed which is bought for pleasure
weekly,happening once a week
wherever,in any situation or at any time that
bite,to press down on or cut into something with the teeth
printer,machine that makes copies of papers and documents
firstly,before anything else
anxious,afraid of what may happen; worried and nervous
adventure,an exciting and often dangerous experience
fence,a wooden or metal structure that separates an area
exhaust,very very tired
attraction,interesting place people want to visit
ocean,large body of salt water that covers most of the surface of the earth
quietly,making little sound
castle,a strong building used in the past to protect people in times of war
veteran,experienced through long service or practice
reflection,image that you see in a mirror-- glass-- or water
nerve,long thin cells in the body that makes feeling and movement possible
determination,will to achieve a goal despite difficulties
altogether,completely and fully
fiction,book or story including ideas-- people-- and events that are not real
carpet,colored floor covering made of wool or other material
cluster,to come together to form a group of people-- animals-- or things
confusion,not knowing what to do
hurry,to move quickly
logic,a way of thinking by using facts and reasoning
controversial,causing a great deal of argument-- discussion-- or conflict
raw,uncooked
grammar,rules that explain how words are used in a language
revise,to make changes to improve something
hint,information that helps you understand or do something more easily
hook,curved or bent tool
bell,a hollow metal object shaped like a cup that rings when it is hit
liquid,basic state of things that is similar to water; not solid or gas
panic,overwhelming feeling of fear and anxiety
uncle,brother of your father or mother or the husband of your aunt
rice,white or brown grains from a plant used for food
slope,an area of land that is higher on one side than the other
happiness,state of feeling pleased; feeling of satisfaction
genuine,being real-- actual-- and not false
vessel,pot-- container
verb,word that expresses an action or state
reckon,to believe that something is true or possible; to calculate or guess
silly,lacking seriousness or foolish
transportation,act-- system-- or business of moving people or goods from one place to another
harbor,area of water protected by land and used by ships
comedy,light or funny play or film-- usually with a happy ending
chase,to follow and try to catch someone or something
storage,a safe place to keep something until it is needed
universe,all of space and everything in it
horrible,very unpleasant
sheep,farm animal kept for meat and wool
lover,a person who likes someone or something very strongly
rat,an animal that looks like a large mouse
portrait,painting-- drawing-- or photograph of a person's head and shoulders
innocent,not having done anything wrong or bad
substitute,person or thing that takes the place of something
supplement,something added to another thing to make it better
adjustment,a small change to make something function better
reasonably,in a fair and just manner
filter,device to remove unwanted substances from a liquid or gas
flexible,capable of being easily bent or changed without breaking
abstract,concerning something that doesn't exist physically
tent,portable cloth shelter used outdoors
precise,very accurate and exact expression or detail
distant,existing or happening far away in space
stranger,someone you do not know
shade,area of darkness where something stops the light
grain,seeds of plants used for food
situate,to place someone or something in a particular place or position
summarize,to state the main or most important ideas of something
leap,to move forwards often in big steps
snap,to break something long and thin
probability,what the chances are that something will happen
leather,a material made from the skin of an animal
uncertainty,feeling that you don't really know what will happen
swear,to make a serious promise to do something
refugee,a person who ran away from his or her country because of war
shore,land along the edge of an area of water
monthly,occurring twelve times a year
comprise,to make up or form something
stir,to mix something by making circular movements in it with a tool
excitement,when people feel very happy and enthusiastic
sigh,to breathe out in a way to show boredom or disappointment
pregnancy,time when a female is going to have a baby
experimental,using techniques that are different or untried before
institutional,concerning a large organization such as a hospital or university
slice,a flat piece of food that has been cut from a bigger piece
wander,to move around without purpose
empire,group of countries controlled by one government
subsequently,after something else has happened
gentle,kind and quiet in nature; not harsh or violent
attendance,state of being present at a place or event
ownership,legal right to have something belong to you
qualification,official record proving a certain standard or level
suspend,to stop something for a period of time; to interrupt
functional,useful; not just for decoration
voluntary,done or given by their own will and not forced to do
pale,light in color
stain,to mark or change the color of something so it looks dirty
athlete,person trained to compete in sports
organic,concerning food made with few or no chemicals
tongue,part of the mouth that tastes food and is used for speaking
server,a person or thing that brings things to you when asked to
structural,related to the way something is built or organized
fool,a stupid or silly person
alongside,side by side with something
unite,to join or come together as one
gently,in a mild-- careful-- and soft manner
compute,to find out by calculating or estimating
wipe,to clean or dry something with a cloth
weird,odd or unusual
gaze,a long continuous look at someone or something
fade,to lose strength or freshness
cough,to force air through your throat with a short-- loud noise
hypothesis,idea that leads to further study or discussion
royal,concerning a king or queen
theoretical,involving the uncertain or yet to be proved parts of a particular subject
curtain,piece of cloth used to cover a window
mayor,head of a city's government
darkness,quality of no or little light
aunt,sister of your father or mother or the wife of your uncle
tournament,a competition made up of a series of games between many competitors
registration,act of recording information on an official list
fragment,part that is broken off of something
listener,someone who pays attention to what is said
tender,loving and gentle
density,number of people or things in a particular area
ugly,unpleasant to look at; not attractive
module,part or unit with a specific job
faithfully,in a trustworthy manner
autumn,season when the weather is getting colder-- between summer and winter
cheek,soft skin on each side of the face-- below the eyes
attachment,strong affection for someone
holder,person who owns or has received something
grin,to smile a big smile
noun,a word that refers to a person-- place-- thing-- quality-- idea-- or action
fortunate,having good luck
alright,good; acceptable
lazy,not liking to work or make an effort
hello,what you say when you meet someone
hunger,feeling of needing to eat food
insure,to buy protection against possible loss or injury
ashamed,feeling shame or guilt because you did something wrong
found,to start something such as a company or organization
thirst,need for something to drink
